n,k,p,seed,total,depth
3,1,5,3,280,10
3,1,5,0,280,10
3,1,5,4,280,10
3,1,5,2,280,10
3,1,5,6,280,10
3,1,5,5,280,10
3,1,5,1,280,10
3,1,5,7,280,10
3,1,5,8,280,10
3,1,6,0,331,12
3,1,5,9,280,10
3,1,6,1,331,12
3,1,6,3,331,12
3,1,6,2,331,12
3,1,6,5,331,12
3,1,6,4,331,12
3,1,6,6,331,12
3,1,6,8,331,12
3,1,6,7,331,12
3,1,7,3,382,14
3,1,6,9,331,12
3,1,7,0,382,14
3,1,7,1,382,14
3,1,7,2,382,14
3,1,7,4,382,14
3,1,7,8,382,14
3,1,7,6,382,14
3,1,7,5,382,14
3,1,7,7,382,14
3,1,8,0,433,16
3,1,7,9,382,14
3,1,8,1,433,16
3,1,8,2,433,16
3,1,8,4,433,16
3,1,8,3,433,16
3,1,8,7,433,16
3,1,8,6,433,16
3,1,8,8,433,16
3,1,8,5,433,16
3,1,8,9,433,16
3,1,9,0,484,18
3,1,9,2,484,18
3,1,9,1,484,18
3,1,9,3,484,18
3,1,9,7,484,18
3,1,9,5,484,18
3,1,9,4,484,18
3,1,9,6,484,18
3,1,9,8,484,18
3,1,9,9,484,18
3,1,10,0,535,20
3,1,10,3,535,20
3,1,10,1,535,20
3,1,10,2,535,20
3,1,10,4,535,20
3,1,10,5,535,20
3,1,10,7,535,20
3,1,10,6,535,20
3,1,11,0,586,22
3,1,10,9,535,20
3,1,11,1,586,22
3,1,10,8,535,20
3,1,11,3,586,22
3,1,11,2,586,22
3,1,11,4,586,22
3,1,11,5,586,22
3,1,11,6,586,22
3,1,11,9,586,22
3,1,11,7,586,22
3,1,11,8,586,22
3,1,12,0,637,24
3,1,12,1,637,24
3,1,12,3,637,24
3,1,12,4,637,24
3,1,12,2,637,24
3,1,12,5,637,24
3,1,12,7,637,24
3,1,12,6,637,24
3,1,12,8,637,24
3,1,12,9,637,24
3,1,13,2,688,26
3,1,13,1,688,26
3,1,13,5,688,26
3,1,13,6,688,26
3,1,13,3,688,26
3,1,13,0,688,26
3,1,13,7,688,26
3,1,13,4,688,26
3,1,13,9,688,26
3,1,13,8,688,26
3,1,14,1,739,28
3,1,14,2,739,28
3,1,14,5,739,28
3,1,14,4,739,28
3,1,14,0,739,28
3,1,14,3,739,28
3,1,14,6,739,28
3,1,14,9,739,28
3,1,14,7,739,28
3,1,15,1,790,30
3,1,15,0,790,30
3,1,15,2,790,30
3,1,14,8,739,28
3,1,15,3,790,30
